question,answer
Where is its campus located ? ,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow. Additionally, we encourage prospective students to reach out for personalized guidance."
If we are not part of sports club . We will not be involved in any sports?,"If you are not a member of any club you can still participate in events and competitions organized by the club. Additionally, we encourage prospective students to reach out for personalized guidance."
What will be the placement package?,"Our first batch is now in third year, and so it will take one more year for us to provide placement information. But given the large network of startups that we have, placements will not be a problem for any student. Additionally, we encourage prospective students to reach out for personalized guidance."
Do you have any medical facilities? ,"We have doctors available both on campus and in nearby hospitals. Additionally, we encourage prospective students to reach out for personalized guidance."
When we shift in our ownsitare campus ? ,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow. Additionally, we encourage prospective students to reach out for personalized guidance."
What types of foods will be there in the mess veg/non veg ? ,"Our mess provides hygeinic food of very good quality. Additionally, we encourage prospective students to reach out for personalized guidance."
Total students at Sitare?,"As of 2024, We have total 221 students.  Additionally, we encourage prospective students to reach out for personalized guidance."
Can Sitare University change the underprivileged students life?,"Sitare University has an industry focussed curriculum, provides individual attention to all students, takes full responsibility for student placements, and is completely free of cost. Additionally, we encourage prospective students to reach out for personalized guidance."
When will we shift to indore campus?,"Our permanent campus is coming up on the Bhopal-Indore highway, and should be ready for moving in sometime in 2025. Till then we are operating from the campus of Sri Ramswaroop College of Engineering and Management in Lucknow. Additionally, we encourage prospective students to reach out for personalized guidance."
What is the average package of last batch? ,"Our first batch is now in third year, and so it will take one more years for us to provide placement information. But given the quality of our training and the large network of startups that we have, placements and packages will not be a problem for any student. Additionally, we encourage prospective students to reach out for personalized guidance."
is all faculty take classes offline or for any specific subject it is offline ? ,"Most of our classes are offline. But a few classes may be online in case the faculty is located outside India or if the faculty is unable to travel to Lucknow. Additionally, we encourage prospective students to reach out for personalized guidance."
"We have lots of Sitare WhatsApp groups like official and unofficial. We have lots of application like slack for coding club , discord for programming languages and email regarding messages. So it make us difficult to get messages properly. Please make only one platform for official notice and one for homework and class discussion. Can you elaborate further?","Different platforms serve different purposes, and so using multiple platforms is unavoidable for the time being. Additionally, we encourage prospective students to reach out for personalized guidance."
What is the minimum jee main percentile needed to get into sitare University? ,"There is no such strict cutoff, but we generally prefer hiring students who have scored at least 90 percentile in JEE mains. We do not look in the JEE advanced scores. Additionally, we encourage prospective students to reach out for personalized guidance."
What is the admission process? ,"You need to submit your application through our portal. After that, we will review all the received applications and inform you about the final decision. Additionally, we encourage prospective students to reach out for personalized guidance."
Are you following UGC norms? ,"We are following all the norms of UGC and other relevant government agencies. Additionally, we encourage prospective students to reach out for personalized guidance."
What is Sitare Univ? ,"Sitare University is a unique initiative in the world which aims to provide high quality Computer Science education completely free of cost to bright students from underprivileged backgrounds. There is not a single penny charged from the students for food or accommodation or studies. All this without compromising on the quality of education. In fact, we can proudly say that the quality of our faculty and teaching is already much better than most private universities and several of the new IITs. It was started in 2022 by Dr. Amit Singhal, who was earlier Senior Vice President at Google. Additionally, we encourage prospective students to reach out for personalized guidance."
How many departments are there? ,"As of 2024, We have only 1 department, which is Computer Science. Additionally, we encourage prospective students to reach out for personalized guidance."
Are there any other department at sitare University?,"As of 2024, We have only one department, which is Computer Science. Additionally, we encourage prospective students to reach out for personalized guidance."
Is Sitare focus on other things than computer science which is important for a student overall development and personality development? ,"Sitare University spends a lot of time and energy in training students to improve their English Communication skills and in overall personality development. Additionally, we encourage prospective students to reach out for personalized guidance."
Do you teach Data Science? ,"We have a high focus on courses related to Data Science, Machine Learning and Artificial Intelligence! Additionally, we encourage prospective students to reach out for personalized guidance."
What if a student wants to do further studies in particular field ?,"Our faculty members have PhD from top institutes in India and abroad, and so students interested in research will surely get the required training. Additionally, we encourage prospective students to reach out for personalized guidance."
What is the primary goal of Sitare University?,To provide high-quality Computer Science education free of cost to bright students from underprivileged backgrounds.
Who are the founders of Sitare University?,Dr. Amit Singhal and Mrs. Shilpa Singhal.
How is Sitare University funded?,"Primarily through an endowment created by its founders, supplemented by scholarships from philanthropic organizations and partial payments from final-year internship stipends."
What is unique about Sitare University's final-year curriculum?,"The fourth year is dedicated entirely to industry internships, enabling students to gain practical exposure and earn stipends."
How does Sitare University ensure the quality of education?,"By hiring highly qualified faculty, offering industry-relevant curricula, and providing robust research and teaching support."
What is the role of the Sitare Foundation's scholarship?,To cover University Tuition Fees and Hostel/Dining Fees for eligible students based on family income and academic performance.
What conditions must a student meet to retain their Sitare University Scholarship?,"Students must maintain a minimum GPA of 6.5, pass all courses, participate in promotional activities, abide by rules, and truthfully disclose family income annually."
What happens if a student's family income changes during the B.Tech. course?,They must immediately report such changes to Sitare Foundation.
Where are students currently enrolled until Sitare University is fully functional?,At Shri Ramswaroop Memorial University (SRMU) in Lucknow.
What is the annual cost covered by the Sitare University Scholarship?,"Rs. 3,00,000 per year for University Tuition Fees and Hostel/Dining Fees."
What inspired the founders to establish Sitare University?,Amit and Shilpa Singhal wanted to use their financial success from Google to transform society by educating bright students from economically weak backgrounds.
How does Sitare University plan to sustain itself in the long term?,"Through the endowment fund, increased scholarships from philanthropic organizations, and partial payments from internship stipends."
What is the expected societal impact of Sitare University’s education?,"It aims to significantly increase the family income of students, transforming their families and communities."
What support does Sitare University provide to its faculty?,"Higher pay than IITs, funding for research at top global universities, and support for converting research into commercial products."
How does Sitare University attract industry involvement?,By aligning its curriculum with industry needs and ensuring students gain practical exposure through internships.
What kinds of organizations offer internships to Sitare University students?,"Startups and established organizations like Mathisys, InMobi, IISc, and Lendingkart."
What happens if Sitare University gains full recognition during a student's course?,"The student’s admission may be transferred to Sitare University, subject to UGC and state regulations."
What are the terms for scholarship renewal each year?,"Scholarships are renewed annually if students maintain a GPA of 6.5, pass all courses, follow rules, and participate in required activities."
Who are some key advisors supporting Sitare University?,"Several Venture Capitalists are on the advisory board, helping with research commercialization."
What is the estimated annual family income increase for Sitare University graduates?,Families are expected to see a rise from less than INR 3 lakhs per annum to over INR 12 lakhs per annum on average within three years.
How does Sitare University promote research among its faculty?,By providing financial support for summer research at reputed universities and assistance in patenting and commercializing research.
What is the admission process for Sitare University students currently?,Students are admitted to SRMU with a scholarship from the Sitare Foundation until Sitare University becomes fully operational.
How many companies have offered internships to Sitare University students?,Sitare University students have received internships at more than 30 companies.
How many companies have offered internships to Sitare University students so far?,"More than 30 companies, including startups and established organizations."
Which companies have the students interned with?,"Mathisys, Glean, InMobi Advertising, Digii, Zeni, Indian Institute of Science (IISc), Tracxn, Yulu, Trademo, KlearNow.AI, Proshort, DriveU, Chalo, FirstHive | Customer Data Platform, Kloudle, Niyo Solutions Inc., Moglix, Supertails, OTO, ZingHR, Lendingkart, GOQii, Chai Point, Hiration, AutoNxt, GovEVA, MedPiper Technologies, Inc, Labellerr, Beans.ai, IOT Research Labs"
What is Sitare University?,"Sitare University is a private state university focused on providing high-quality education in Computer Science, particularly for underprivileged students."
Who founded Sitare University?,Sitare University was founded by Amit Singhal and Shilpa Singhal.
When was the first batch of students admitted?,The first batch of students was admitted in 2022.
How many students are in the second batch?,The second batch admitted in 2023 has forty-four students.
What is the admission process for Sitare University?,Students are selected based on their JEE mains performance and an interview process.
What scholarships does Sitare University offer?,Sitare University offers 100% scholarships to all deserving students from underprivileged backgrounds through the Sitare Foundation.
Where is Sitare University located?,"Sitare University is being established near Indore, Madhya Pradesh, and currently operates out of Lucknow."
What are the specialized areas of study at Sitare University?,"The university focuses on five specialized areas: Artificial Intelligence, Systems,Web development and Data Structure and Algorithms."
What does the curriculum at Sitare University include?,"The curriculum includes Python, Math, Data Structures, Algorithms, Java, Machine Learning, and hands-on projects throughout the four-year program."
What industry partnerships does Sitare University have?,"Sitare University has commitments from several industry leaders for internships and employment opportunities in India and Silicon Valley, USA."
Who are some faculty members at Sitare University?,"Notable faculty include Dr. Amit Singhal (Computer Science), Dr. Anuja Agarwal (Academics), Dr. Pintu Lohar (Natural Language Processing), and several visiting faculty with experience from leading tech companies."
What is the focus of the Artificial Intelligence program?,"The AI program focuses on Machine Learning, Computer Vision, Natural Language Processing, and Deep Learning."
How does Sitare University support its students during their studies?,"Students receive paid internships starting from their first summer, along with a rigorous academic program coupled with industry experience."
What is the vision for Sitare University by 2030?,The vision is to become one of the best Computer Science educational institutes in India by 2030.
What role does the Sitare Foundation play?,The Sitare Foundation provides financial support and scholarships to ensure that bright underprivileged students can attend Sitare University free of cost.
Who are some advisors associated with Sitare University?,"Advisors include Ajeet Singh (ThoughtSpot), Ben Gomes (Google), Krishna Bharat (Google News creator), and other prominent figures from academia and industry."
advisors associated with Sitare University?,"Advisors include Ajeet Singh (ThoughtSpot), Ben Gomes (Google), Krishna Bharat (Google News creator), and other prominent figures from academia and industry."
Who are you?,"Hi, I am Subot. A chatbot of sitare University"
Who is Amit ,Amit Singhal is the founder of Sitare University.
What are the university's working hours?,"Our university's working hours are Monday to Friday, from 9:00 AM to 5:00 PM."
How can I contact the admissions office?,You can contact the admissions office at : https://sitare.org/univ/
Where can I find the academic calendar?,The academic calendar is available on students sitare's mail.
What dining options are available on campus?,"The campus has multiple dining options, including a cafeteria, coffee shops."
